PPV
0.023966
0.287687
0.440429
0.250285
0.053694
0.114139
0.041013
0.307827
0.066579
0.040625
0.187998
0.190030
0.154347
0.081336
0.154240
0.149280
0.197863
0.195645
0.133386
0.110060
0.136707
0.100988
0.093850
0.016429
0.055244
0.025708
0.000000
0.088525
0.070207
